,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT
1034,11,4,1,AS,N474AS,SFO,-4,395,2586,690,686,905,54,35,49,S,9,0,30.37,Partly Cloudy,32,21,34
1102,11,4,1,B6,N929JB,SFO,-10,404,2586,930,920,1154,54,38,55,S,18,0,30.31,Mostly Cloudy,29,37,11
1119,11,4,1,DL,N711ZX,SFO,2,408,2586,955,957,1183,53,39,59,S,16,0,30.31,Mostly Cloudy,29,37,24
1125,11,4,1,AA,N115NN,SFO,-7,407,2586,980,973,1207,53,39,59,S,16,0,30.31,Mostly Cloudy,31,37,18
1135,11,4,1,AS,N251AK,SFO,-11,405,2586,1020,1009,1245,53,39,59,S,16,0,30.31,Mostly Cloudy,31,37,31
1148,11,4,1,DL,N712TW,SFO,10,404,2586,1035,1045,1259,53,40,61,S,18,0,30.3,Mostly Cloudy,36,28,15
1154,11,4,1,AA,N110AN,SFO,-9,403,2586,1065,1056,1288,53,40,61,S,18,0,30.3,Mostly Cloudy,36,28,30
1181,11,4,1,DL,N705TW,SFO,-2,412,2586,1135,1133,1367,53,41,64,S,15,0,30.31,Partly Cloudy,39,33,30
1219,11,4,1,AA,N102NN,SFO,-7,405,2586,1275,1268,60,53,44,71,SW,10,0,30.3,Mostly Cloudy,29,31,21
1221,11,4,1,B6,N947JB,SFO,91,409,2586,1180,1271,1409,53,44,71,SW,10,0,30.3,Mostly Cloudy,29,31,26
1233,11,4,1,B6,N989JT,SFO,-8,390,2586,1309,1301,79,53,44,71,SW,10,0,30.3,Mostly Cloudy,29,31,15
1268,11,5,2,B6,N929JB,SFO,-3,388,2586,410,407,618,55,53,93,SSW,10,0,30.23,Mostly Cloudy,17,15,11
1275,11,5,2,DL,N721TW,SFO,-4,397,2586,420,416,637,57,53,87,S,6,0,30.22,Mostly Cloudy,17,15,18
1278,11,5,2,AA,N103NN,SFO,-2,401,2586,420,418,641,57,53,87,S,6,0,30.22,Mostly Cloudy,17,15,21
1285,11,5,2,AS,N296AK,SFO,11,407,2586,420,431,647,57,53,87,S,6,0,30.22,Mostly Cloudy,36,28,20
1316,11,5,2,DL,N711ZX,SFO,-4,405,2586,495,491,720,58,54,87,S,6,0,30.21,Cloudy,50,18,30
1337,11,5,2,B6,N981JT,SFO,-9,397,2586,562,553,779,60,56,86,SSE,15,21,30.18,Cloudy,29,16,16
1345,11,5,2,DL,N703TW,SFO,-6,400,2586,580,574,800,60,56,86,SSE,15,21,30.18,Cloudy,29,16,13
1361,11,5,2,AA,N106NN,SFO,-5,394,2586,660,655,874,61,59,93,SSW,14,0,30.14,Cloudy,18,22,17
1362,11,5,2,B6,N942JB,SFO,-4,393,2586,659,655,872,61,59,93,SSW,14,0,30.14,Cloudy,18,22,19
1366,11,5,2,DL,N704X,SFO,-4,396,2586,685,681,901,61,59,93,SSW,12,0,30.13,Cloudy,25,19,15
1369,11,5,2,AS,N260AK,SFO,-5,407,2586,690,685,917,61,59,93,SSW,12,0,30.13,Cloudy,25,19,22
1435,11,5,2,B6,N982JB,SFO,-1,404,2586,930,929,1154,59,46,62,WSW,13,0,30.11,Mostly Cloudy,24,33,14
1438,11,5,2,DL,N705TW,SFO,-6,408,2586,955,949,1183,59,46,62,WSW,13,0,30.11,Mostly Cloudy,24,33,27
1453,11,5,2,AA,N113AN,SFO,5,407,2586,980,985,1207,58,46,65,SW,12,0,30.11,Mostly Cloudy,31,35,19
1456,11,5,2,AS,N292AK,SFO,1,410,2586,995,996,1225,58,46,65,SW,12,0,30.11,Mostly Cloudy,31,35,20
1470,11,5,2,DL,N727TW,SFO,10,404,2586,1035,1045,1259,56,46,69,WSW,12,0,30.13,Partly Cloudy,30,27,14
1473,11,5,2,AA,N101NN,SFO,-8,403,2586,1065,1057,1288,56,46,69,WSW,12,0,30.13,Partly Cloudy,30,27,15
1494,11,5,2,DL,N712TW,SFO,-4,412,2586,1135,1131,1367,55,44,67,WSW,10,0,30.14,Partly Cloudy,36,31,12
1507,11,5,2,B6,N985JT,SFO,-6,409,2586,1180,1174,1409,55,45,69,WSW,10,0,30.14,Mostly Cloudy,36,28,17
1533,11,5,2,AA,N110AN,SFO,-4,405,2586,1275,1271,60,56,41,57,W,10,0,30.16,Partly Cloudy,28,29,22
1548,11,5,2,B6,N991JT,SFO,5,390,2586,1309,1314,79,56,39,53,WNW,12,0,30.17,Mostly Cloudy,28,29,14
1580,11,6,3,B6,N982JB,SFO,-8,388,2586,410,402,618,46,35,66,NW,9,0,30.33,Fair,17,17,11
1584,11,6,3,AA,N111ZM,SFO,-6,401,2586,420,414,641,49,33,54,WNW,13,0,30.38,Fair,17,17,16
1589,11,6,3,DL,N703TW,SFO,-1,397,2586,420,419,637,49,33,54,WNW,13,0,30.38,Fair,17,17,26
1595,11,6,3,AS,N408AS,SFO,15,407,2586,420,435,647,49,33,54,WNW,13,0,30.38,Fair,34,28,13
1628,11,6,3,DL,N705TW,SFO,-2,405,2586,495,493,720,50,33,52,WNW,12,0,30.39,Fair,52,18,17
1650,11,6,3,B6,N943JT,SFO,-7,397,2586,562,555,779,51,32,48,W,12,0,30.4,Fair,31,17,15
1660,11,6,3,DL,N707TW,SFO,-2,400,2586,580,578,800,51,32,48,W,12,0,30.4,Fair,31,17,18
1673,11,6,3,AA,N112AN,SFO,-4,394,2586,660,656,874,54,30,40,W,8,17,30.38,Fair,15,23,21
1674,11,6,3,B6,N934JB,SFO,-1,393,2586,659,658,872,54,30,40,W,8,17,30.38,Fair,15,23,14
1678,11,6,3,DL,N721TW,SFO,-6,396,2586,685,679,901,54,30,40,W,8,17,30.38,Fair,27,19,15
1681,11,6,3,AS,N265AK,SFO,-8,407,2586,690,682,917,54,30,40,W,8,17,30.38,Fair,27,19,20
1746,11,6,3,B6,N976JT,SFO,-7,404,2586,930,923,1154,53,29,40,WSW,8,0,30.34,Fair,27,35,30
1766,11,6,3,DL,N722TW,SFO,12,408,2586,955,967,1183,50,29,44,SW,10,0,30.35,Fair,32,34,23
1769,11,6,3,AA,N106NN,SFO,-4,407,2586,980,976,1207,50,29,44,SW,10,0,30.35,Fair,32,34,34
1774,11,6,3,AS,N293AK,SFO,-6,410,2586,995,989,1225,50,29,44,SW,10,0,30.35,Fair,32,34,16
1791,11,6,3,DL,N727TW,SFO,-2,404,2586,1035,1033,1259,50,31,48,WSW,10,0,30.36,Fair,30,28,14
1797,11,6,3,AA,N117AN,SFO,2,403,2586,1065,1067,1288,50,31,48,WSW,10,0,30.36,Fair,30,28,21
1816,11,6,3,DL,N712TW,SFO,2,412,2586,1135,1137,1367,50,30,46,WSW,9,0,30.37,Fair,36,31,27
1827,11,6,3,B6,N945JT,SFO,-7,409,2586,1180,1173,1409,51,29,43,WSW,12,0,30.37,Fair,37,28,18
1856,11,6,3,AA,N111ZM,SFO,-3,405,2586,1275,1272,60,49,35,59,WSW,10,0,30.37,Fair,30,28,19
1868,11,6,3,B6,N942JB,SFO,-4,390,2586,1309,1305,79,49,35,59,WSW,10,0,30.37,Fair,30,28,16
1903,11,7,4,B6,N976JT,SFO,-6,388,2586,410,404,618,52,38,59,SW,15,0,30.25,Cloudy,17,21,16
1906,11,7,4,DL,N705TW,SFO,-10,397,2586,420,410,637,52,38,59,SW,15,0,30.25,Cloudy,17,21,22
1911,11,7,4,AA,N110AN,SFO,-3,401,2586,420,417,641,54,33,45,SSW,18,26,30.22,Mostly Cloudy,17,21,18
1916,11,7,4,AS,N419AS,SFO,-1,407,2586,420,419,647,54,33,45,SSW,18,26,30.22,Mostly Cloudy,17,21,23
1952,11,7,4,DL,N722TW,SFO,-2,405,2586,495,493,720,54,33,45,SW,16,0,30.21,Mostly Cloudy,52,20,29
1975,11,7,4,B6,N987JT,SFO,-4,397,2586,562,558,779,53,33,47,WSW,15,0,30.21,Cloudy,35,21,20
1979,11,7,4,AS,N457AS,SFO,-5,407,2586,570,565,797,53,33,47,WSW,15,0,30.21,Cloudy,35,21,18
1984,11,7,4,DL,N721TW,SFO,-3,400,2586,580,577,800,53,33,47,WSW,15,0,30.21,Cloudy,35,21,17
2001,11,7,4,AA,N107NN,SFO,-7,394,2586,660,653,874,55,44,67,SW,12,0,30.11,Cloudy,19,22,16
2005,11,7,4,B6,N962JT,SFO,-4,393,2586,659,655,872,55,44,67,SW,12,0,30.11,Cloudy,19,22,16
2013,11,7,4,AS,N264AK,SFO,-14,407,2586,690,676,917,55,44,67,SW,12,0,30.11,Cloudy,30,22,34
2015,11,7,4,DL,N723TW,SFO,-5,396,2586,685,680,901,55,44,67,SW,12,0,30.11,Cloudy,30,22,16
2088,11,7,4,B6,N946JL,SFO,-3,404,2586,930,927,1154,56,46,69,SSW,9,0,29.98,Cloudy,29,38,18
2092,11,7,4,DL,N711ZX,SFO,-4,408,2586,955,951,1183,56,48,75,SSW,7,0,29.97,Cloudy,29,38,24
2102,11,7,4,AA,N102NN,SFO,-5,407,2586,980,975,1207,56,48,75,SSW,7,0,29.97,Cloudy,32,37,15
2109,11,7,4,AS,N278AK,SFO,-1,410,2586,995,994,1225,56,48,75,SSW,7,0,29.97,Cloudy,32,37,17
2125,11,7,4,DL,N709TW,SFO,-9,404,2586,1035,1026,1259,57,48,72,W,12,0,30.0,Light Rain,34,27,33
2132,11,7,4,AA,N103NN,SFO,-7,403,2586,1065,1058,1288,52,46,80,NW,14,0,30.01,Light Rain,34,27,17
2162,11,7,4,DL,N727TW,SFO,0,412,2586,1135,1135,1367,52,49,89,WNW,14,0,30.02,Light Rain,40,34,34
2176,11,7,4,B6,N923JB,SFO,2,409,2586,1180,1182,1409,50,47,89,WNW,16,0,30.0,Light Rain,40,28,15
2197,11,7,4,DL,N705TW,SFO,0,406,2586,1270,1270,56,48,46,93,NW,15,0,29.99,Light Rain,33,34,27
2200,11,7,4,AA,N110AN,SFO,-2,405,2586,1275,1273,60,48,46,93,NW,15,0,29.99,Light Rain,33,34,23
2212,11,7,4,B6,N980JT,SFO,-8,390,2586,1309,1301,79,47,46,97,NNW,14,0,29.99,Light Rain,33,34,27
2243,11,8,5,B6,N946JL,SFO,-7,388,2586,410,403,618,34,20,56,NNW,13,0,30.09,Fair,17,20,12
2247,11,8,5,AA,N101NN,SFO,-5,401,2586,420,415,641,36,22,57,NW,15,23,30.14,Fair,17,20,23
2251,11,8,5,DL,N711ZX,SFO,-1,397,2586,420,419,637,36,22,57,NW,15,23,30.14,Fair,17,20,16
2255,11,8,5,AS,N459AS,SFO,0,407,2586,420,420,647,36,22,57,NW,15,23,30.14,Fair,36,27,31
2296,11,8,5,DL,N704X,SFO,-2,405,2586,495,493,720,35,24,64,NW,21,29,30.14,Mostly Cloudy / Windy,52,21,27
2320,11,8,5,B6,N988JT,SFO,-3,397,2586,562,559,779,37,23,57,NW,21,26,30.13,Mostly Cloudy / Windy,34,20,24
2323,11,8,5,AS,N478AS,SFO,-3,407,2586,570,567,797,37,23,57,NW,21,26,30.13,Mostly Cloudy / Windy,34,20,28
2328,11,8,5,DL,N723TW,SFO,-2,400,2586,580,578,800,37,23,57,NW,21,26,30.13,Mostly Cloudy / Windy,34,20,21
2355,11,8,5,AS,N280AK,SFO,1,407,2586,690,691,917,40,18,41,WNW,22,33,30.14,Partly Cloudy / Windy,30,21,40
2364,11,8,5,DL,N722TW,SFO,18,396,2586,685,703,901,40,18,41,WNW,22,33,30.14,Partly Cloudy / Windy,30,21,31
2366,11,8,5,AA,N106NN,SFO,47,394,2586,660,707,874,40,18,41,WNW,22,33,30.14,Partly Cloudy / Windy,30,21,30
2368,11,8,5,B6,N947JB,SFO,58,393,2586,659,717,872,41,16,36,NW,22,37,30.13,Partly Cloudy / Windy,30,21,35
2427,11,8,5,B6,N943JT,SFO,-5,404,2586,930,925,1154,38,12,35,NW,18,26,30.18,Partly Cloudy,27,37,15
2444,11,8,5,DL,N705TW,SFO,9,408,2586,955,964,1183,36,14,41,NW,17,24,30.2,Partly Cloudy,33,36,11
2450,11,8,5,AA,N109NN,SFO,3,407,2586,980,983,1207,36,14,41,NW,17,24,30.2,Partly Cloudy,33,36,16
2467,11,8,5,DL,N706TW,SFO,-5,404,2586,1035,1030,1259,35,13,40,NNW,17,0,30.24,Fair,32,28,16
2471,11,8,5,AS,N557AS,SFO,54,410,2586,995,1049,1225,35,13,40,NNW,17,0,30.24,Fair,32,28,25
2476,11,8,5,AA,N102NN,SFO,-5,403,2586,1065,1060,1288,35,13,40,NNW,17,0,30.24,Fair,32,28,17
2522,11,8,5,B6,N980JT,SFO,3,409,2586,1180,1183,1409,33,15,48,NNW,18,28,30.29,Fair,40,26,21
2528,11,8,5,DL,N727TW,SFO,-6,416,2586,1199,1193,1435,33,15,48,NNW,18,28,30.29,Fair,40,26,29
2546,11,8,5,DL,N711ZX,SFO,-4,406,2586,1270,1266,56,32,15,50,NNW,17,22,30.31,Fair,32,33,26
2548,11,8,5,AA,N101NN,SFO,-5,405,2586,1275,1270,60,32,15,50,NNW,17,22,30.31,Fair,32,33,29
2564,11,8,5,B6,N969JT,SFO,-6,390,2586,1309,1303,79,32,15,50,NNW,17,22,30.31,Fair,32,33,17
2593,11,9,6,AA,N106NN,SFO,-8,401,2586,420,412,641,32,20,61,CALM,0,0,30.38,Mostly Cloudy,14,19,20
2596,11,9,6,AS,N293AK,SFO,-5,407,2586,420,415,647,32,20,61,CALM,0,0,30.38,Mostly Cloudy,14,19,24
2641,11,9,6,DL,N705TW,SFO,19,399,2586,485,504,704,34,21,59,VAR,3,0,30.38,Mostly Cloudy,51,17,20
2657,11,9,6,B6,N984JB,SFO,-3,397,2586,562,559,779,35,18,50,S,5,0,30.36,Mostly Cloudy,38,16,13
2663,11,9,6,AS,N287AK,SFO,0,407,2586,570,570,797,35,18,50,S,5,0,30.36,Mostly Cloudy,38,16,26
2680,11,9,6,AA,N107NN,SFO,-5,394,2586,660,655,874,37,22,54,SW,5,0,30.32,Mostly Cloudy,17,20,16
2686,11,9,6,DL,N706TW,SFO,-6,393,2586,685,679,898,37,22,54,SW,5,0,30.32,Mostly Cloudy,28,20,24
2687,11,9,6,AS,N278AK,SFO,-8,407,2586,690,682,917,37,22,54,SW,5,0,30.32,Mostly Cloudy,28,20,26
2748,11,9,6,B6,N987JT,SFO,-7,404,2586,930,923,1154,39,25,57,SSW,10,0,30.23,Partly Cloudy,28,40,12
2758,11,9,6,DL,N721TW,SFO,-2,404,2586,955,953,1179,39,27,62,S,14,0,30.21,Mostly Cloudy,28,40,12
2769,11,9,6,AA,N111ZM,SFO,-3,407,2586,980,977,1207,39,27,62,S,14,0,30.21,Mostly Cloudy,31,32,18
2775,11,9,6,AS,N538AS,SFO,1,410,2586,995,996,1225,39,27,62,S,14,0,30.21,Mostly Cloudy,31,32,14
2828,11,9,6,B6,N986JB,SFO,-3,409,2586,1180,1177,1409,40,24,53,SW,13,0,30.2,Partly Cloudy,40,25,18
2837,11,9,6,DL,N703TW,SFO,-4,412,2586,1199,1195,1431,40,24,53,SW,13,0,30.2,Partly Cloudy,40,25,37
2856,11,9,6,B6,N961JT,SFO,-4,390,2586,1309,1305,79,40,26,58,SW,17,0,30.2,Mostly Cloudy,27,25,14
2887,11,10,7,AS,N403AS,SFO,-7,407,2586,420,413,647,44,33,65,SSW,10,0,30.13,Mostly Cloudy,17,19,16
2889,11,10,7,AA,N116AN,SFO,-5,401,2586,420,415,641,44,33,65,SSW,10,0,30.13,Mostly Cloudy,17,19,19
2896,11,10,7,DL,N723TW,SFO,-1,397,2586,420,419,637,44,33,65,SSW,10,0,30.13,Mostly Cloudy,17,19,30
2899,11,10,7,B6,N987JT,SFO,11,388,2586,410,421,618,44,33,65,SSW,10,0,30.13,Mostly Cloudy,34,29,12
2930,11,10,7,DL,N706TW,SFO,-7,405,2586,495,488,720,46,34,63,SW,17,0,30.12,Mostly Cloudy,49,18,22
2953,11,10,7,B6,N985JT,SFO,-8,397,2586,562,554,779,46,35,66,SW,16,0,30.11,Mostly Cloudy,32,19,23
2958,11,10,7,AS,N267AK,SFO,-1,407,2586,570,569,797,46,35,66,SW,16,0,30.11,Mostly Cloudy,32,19,14
2961,11,10,7,DL,N718TW,SFO,1,400,2586,580,581,800,46,35,66,SW,16,0,30.11,Mostly Cloudy,32,19,15
2973,11,10,7,B6,N976JT,SFO,-8,393,2586,659,651,872,48,32,54,SW,13,0,30.06,Mostly Cloudy,20,22,11
2980,11,10,7,AA,N112AN,SFO,-2,394,2586,660,658,874,48,32,54,SW,13,0,30.06,Mostly Cloudy,20,22,21
2989,11,10,7,AS,N292AK,SFO,-5,407,2586,690,685,917,48,32,54,SW,13,0,30.06,Mostly Cloudy,31,21,27
2991,11,10,7,DL,N707TW,SFO,3,396,2586,685,688,901,48,32,54,SW,13,0,30.06,Mostly Cloudy,31,21,21
3055,11,10,7,B6,N988JT,SFO,-9,404,2586,930,921,1154,50,36,59,SW,7,0,30.01,Mostly Cloudy,27,38,14
3066,11,10,7,DL,N709TW,SFO,-3,408,2586,955,952,1183,49,36,61,WSW,12,0,30.02,Mostly Cloudy,27,38,18
3075,11,10,7,AA,N103NN,SFO,-8,407,2586,980,972,1207,49,36,61,WSW,12,0,30.02,Mostly Cloudy,31,34,11
3083,11,10,7,AS,N493AS,SFO,-3,410,2586,995,992,1225,49,36,61,WSW,12,0,30.02,Mostly Cloudy,31,34,21
3099,11,10,7,DL,N712TW,SFO,-6,404,2586,1035,1029,1259,49,35,59,WSW,10,0,30.02,Mostly Cloudy,33,28,14
3111,11,10,7,AA,N113AN,SFO,-3,403,2586,1065,1062,1288,49,35,59,WSW,10,0,30.02,Mostly Cloudy,33,28,17
3148,11,10,7,B6,N980JT,SFO,-4,409,2586,1180,1176,1409,50,36,59,W,10,0,30.05,Partly Cloudy,41,28,14
3158,11,10,7,DL,N721TW,SFO,-1,416,2586,1199,1198,1435,50,36,59,W,10,0,30.05,Partly Cloudy,41,28,11
3177,11,10,7,DL,N723TW,SFO,-5,406,2586,1270,1265,56,50,38,63,WSW,7,0,30.07,Mostly Cloudy,32,34,17
3178,11,10,7,AA,N116AN,SFO,-4,405,2586,1275,1271,60,50,38,63,WSW,7,0,30.07,Mostly Cloudy,32,34,15
3192,11,10,7,B6,N991JT,SFO,-8,390,2586,1309,1301,79,50,38,63,WSW,7,0,30.07,Mostly Cloudy,32,34,14
3227,11,11,1,B6,N988JT,SFO,-9,388,2586,410,401,618,48,43,83,S,6,0,30.08,Mostly Cloudy,16,21,11
3234,11,11,1,AS,N469AS,SFO,-5,407,2586,420,415,647,48,44,86,CALM,0,0,30.08,Partly Cloudy,16,21,13
